type,speciesID,scientificName,commonName,shortCode,speciesCode,active
tally-species,10491,Sebastolobus alascanus,Shortspine Thornyhead,SSPN,350,
tally-species,10492,Sebastolobus,Shortspine/ Longspine Thornyhead,THDS,349,
tally-species,10493,Anoplopoma fimbria,Sablefish,SABL,203,
tally-species,10494,Citharichthys sordidus,Pacific Sanddab,PDAB,137,
tally-species,10495,Ammodytes hexapterus,Pacific Sandlance,PSAN,670,
tally-species,10496,Paricelinus hopliticus,Thornback Sculpin,THSC,420,
tally-species,10497,Eumetopias jubatus,Steller Sea Lion,STSL,1025,
tally-species,10498,Mirounga angustirostris,Northern Elephant Seal,NESE,1029,
tally-species,10499,Squalus suckleyi,Pacific Spiny Dogfish,DSRK,66,
tally-species,10500,Puffinus griseus,Sooty Shearwater,SOSH,956,
tally-species,10501,Pandalus danae,Coonstripe Shrimp,COSH,71,
tally-species,10502,Osmeridae,Smelt Unid,SMLT,602,
tally-species,10503,Paraliparis deani,Prickly Snailfish,PRSN,502,
tally-species,10504,Liparis fucensis,Slipskin Snailfish,SLSN,506,
tally-species,10505,Isopsetta isolepis,Butter Sole,BSOL,109,
tally-species,10506,Doryteuthis opalescens,Market Squid,MSQD,621,
tally-species,10507,Asteroidea,Sea Star Unid,SSTU,20,
tally-species,10508,Oceanodroma furcata,Fork-tailed Storm-Petrel,FTSP,960,
tally-species,10509,Acipenser medirostris,Green Sturgeon,GSTG,231,
tally-species,10510,Hydroprogne caspia,Caspian Tern,CATE,911,
tally-species,10511,Thunnus alalunga,Albacore Tuna,ALBC,710,
tally-species,10512,Euthynnus lineatus,Skipjack Tuna,STNA,713,
tally-species,10513,Reinhardtius hippoglossoides,Greenland Turbot,GTRB,102,
tally-species,10514,Dermochelys coriacea,Leatherback Turtle,LETU,1073,
tally-species,10515,Balaenoptera acutorostrata,Minke Whale,MIWH,1037,
tally-species,10516,Orcinus orca,Killer Whale,KIWH,1036,
tally-species,10517,Cryptacanthodes aleutensis,Dwarf Wrymouth,DWWR,783,
tally-species,10519,Gastropoda,Sea Snail Unid,SSNU,30,
tally-species,10520,Teuthida,Squid Unid,SQID,50,
tally-species,10521,Poroclinus rothrocki,Whitebarred Prickleback,WHPI,273,
tally-species,10522,Platyrhinoidis triseriata,Thornback,THOR,557,
tally-species,10523,Talismania bifurcata,Threadfin Slickhead,THSL,161,
tally-species,10524,Kogia breviceps,Pygmy Sperm Whale,PSWH,1039,
tally-species,10525,Bathyraja abyssicola,Deepsea Skate,DESK,553,
tally-species,10526,Bathyraja spinosissima,White Skate,WHSK,558,
tally-species,10527,Aphroditidae,Sea Mouse Unid,SEMU,59,
tally-species,10528,Coryphaenoides cinereus,Popeye Grenadier,POGR,84,
tally-species,10529,Alepocephalus tenebrosus,California Slickhead,CSHD,160,
tally-species,10530,Paralithodes californiensis,California King Crab,CKCR,7,
